id,code,name
63aa8b3d3c6f497a3aa0a419,A02.200x005+M90.2*,沙门菌性骨髓炎
63aa8b3d3c6f497a3aa0a41a,A02.201+J17.0*,沙门菌肺炎
63aa8b3d3c6f497a3aa0a41b,A02.202+M01.3*,沙门菌关节炎
63aa8b3d3c6f497a3aa0a41c,A02.203+G01*,沙门菌脑膜炎
63aa8b3d3c6f497a3aa0a41d,A02.800,沙门菌感染，其他特指的
63aa8b3d3c6f497a3aa0a41e,A02.900,沙门菌感染
63aa8b3d3c6f497a3aa0a41f,A02.900x002,鼠伤寒沙门菌感染
63aa8b403c6f497a3aa0a777,A38.x00x010,猩红热轻型
63aa8b403c6f497a3aa0a778,A38.x00x011,猩红热中毒型
63aa8b403c6f497a3aa0a779,A38.x00x012,猩红热脓毒型
63aa8b403c6f497a3aa0a77a,A38.x00x013,猩红热外科型
63aa8b403c6f497a3aa0a77b,A38.x00x014,猩红热产科型
63aa8b403c6f497a3aa0a77c,A39.000+G01*,脑膜炎球菌性脑膜炎
63aa8b403c6f497a3aa0a77d,A39.000x001+G01*,流行性脑膜炎
63aa8b403c6f497a3aa0a77e,A39.000x004+G01*,双球菌性脑膜炎
63aa8b403c6f497a3aa0a77f,A39.000x005+G01*,脑膜炎球菌性蛛网膜炎
63aa8b403c6f497a3aa0a780,A39.000x006+G01*,流行性脑脊髓膜炎轻型
63aa8b403c6f497a3aa0a781,A39.000x007+G01*,流行性脑脊髓膜炎普通型
63aa8b403c6f497a3aa0a782,A39.000x008+G01*,流行性脑脊髓膜炎暴发型
63aa8b403c6f497a3aa0a783,A39.001+G01*,普通型流行性脑脊髓膜炎
63aa8b403c6f497a3aa0a784,A39.002+G01*,暴发型流行性脑脊髓膜炎
63aa8b403c6f497a3aa0a785,A39.003+G01*,流行性脑脊髓膜炎
63aa8b403c6f497a3aa0a786,A39.100+E35.1*,沃-弗综合征
63aa8b403c6f497a3aa0a787,A39.200,急性脑膜炎球菌血症
63aa8b403c6f497a3aa0a788,A39.300,慢性脑膜炎球菌血症
63aa8b403c6f497a3aa0a789,A39.400,脑膜炎球菌血症
63aa8b403c6f497a3aa0a78a,A39.500,脑膜炎球菌性心脏病
63aa8b403c6f497a3aa0a78b,A39.501+I32.0*,脑膜炎球菌性心包炎
63aa8b403c6f497a3aa0a78c,A39.502+I39.8*,脑膜炎球菌性心内膜炎
63aa8b403c6f497a3aa0a78d,A39.503+I41.0*,脑膜炎球菌性心肌炎
63aa8b403c6f497a3aa0a78e,A39.800,脑膜炎球菌感染，其他的
63aa8b403c6f497a3aa0a78f,A39.801+H13.1*,脑膜炎球菌性结膜炎
63aa8b403c6f497a3aa0a790,A39.802+G05.0*,脑膜炎球菌性脑炎
63aa8b403c6f497a3aa0a791,A39.803+G05.0*,脑膜炎球菌性脊髓脊膜炎
63aa8b403c6f497a3aa0a792,A39.804+M01.0*,脑膜炎球菌性关节炎
63aa8b403c6f497a3aa0a793,A39.805+M03.0*,脑膜炎球菌感染后关节炎
63aa8b403c6f497a3aa0a794,A39.900,脑膜炎球菌感染
63aa8b403c6f497a3aa0a795,A40.000,A族链球菌性败血症
63aa8b403c6f497a3aa0a796,A40.100,B族链球菌性败血症
63aa8b403c6f497a3aa0a797,A40.200,D族链球菌性败血症
63aa8b403c6f497a3aa0a798,A40.300,肺炎链球菌性败血症
63aa8b403c6f497a3aa0a799,A40.800,链球菌性败血症，其他的
63aa8b403c6f497a3aa0a79a,A40.900,链球菌性败血症
63aa8b403c6f497a3aa0a79b,A41.000,金黄色葡萄球菌性败血症
