id,code,name
115540,D46.700x002,难治性中性粒细胞减少症
115541,D46.700x003,难治性血小板减少症
115542,D46.700x006,不能分型的骨髓异常增生综合征
115543,D46.700x007,儿童骨髓异常增生综合征
115544,D46.700x008,儿童难治性血细胞减少
115545,D46.900,骨髓增生异常综合征
115546,D46.900x002,骨髓增生异常性贫血
115547,D46.900x004,骨髓发育不良综合征
115548,D46.900x006,治疗相关性AML和MDS
115549,D46.901,白血病前期综合征
115550,D47.000,动态未定和动态未知的组织细胞和肥大细胞瘤
115551,D47.001,懒性系统性肥大细胞增多症
115552,D47.002,肥大细胞肿瘤，未特指
115553,D47.003,肥大细胞瘤，未特指
115554,D47.004,非肥大细胞系的造血系统增生疾病
115555,D47.100,慢性骨髓增生性疾病
115556,D47.100x004,慢性骨髓增殖性肿瘤
115557,D47.100x007,慢性骨髓增殖性疾病（不能分型）
115558,D47.100x008,骨髓增生异常性/骨髓增殖性肿瘤（不能分型）
115559,D47.100x009,唐氏综合征相关的骨髓增殖性疾病
115560,D47.100x017,慢性骨髓增殖性疾病伴缓解（不能分型）
115561,D47.100x018,骨髓增生异常性/骨髓增殖性肿瘤伴缓解（不能分型）
115563,D47.101,慢性中性粒细胞白血病
115564,D47.200,意义未明的单克隆丙种球蛋白病
115565,D47.200x003,单克隆免疫球蛋白沉积病
115566,D47.200x004+G63.1*,副蛋白血症相关神经病
115569,D47.400,骨髓纤维瘤
115570,D47.401,慢性原发性（特发性）骨髓纤维化
116332,D83.000,常见变异型免疫缺陷伴有显著的B细胞数量和功能异常
116334,D83.200,常见变异型免疫缺陷伴有对B或T细胞的自身抗体
116335,D83.800,常见变异型免疫缺陷，其他的
126349,K92.208,上消化道出血
126350,K92.209,下消化道出血
126351,K92.210,消化道出血
126352,K92.800,消化系统其他特指的疾病
126353,K92.800x001,食管癌伴出血
126355,K92.800x003,残胃溃疡癌变伴出血
126356,K92.800x004,小肠淋巴瘤伴出血
126357,K92.800x005,结肠癌伴出血
126358,K92.800x006,肝癌伴出血
126360,K92.800x009,胆囊癌伴出血
126361,K92.800x010,胆管癌伴出血
125423,K55.100,肠慢性血管疾患
125424,K55.100x001,肠道慢性缺血性综合征
126222,K86.901,胰腺肿物
126223,K90.000,乳糜泻(腹腔病)
126224,K90.000x001,非热带性口炎性腹泻
126225,K90.001,谷胶肠病
126226,K90.002,特发性脂肪痢
126228,K90.100x001,热带性口炎性腹泻
126229,K90.100x002,口炎性腹泻
126230,K90.100x003,热带性脂肪痢
126231,K90.200,盲袢综合征
126232,K90.200x001,非手术性盲袢综合征
126233,K90.300,胰性脂肪痢
126234,K90.300x001,胰源性腹泻
126235,K90.400,不耐受引起的吸收不良
126236,K90.400x003,肠原性脂肪代谢障碍
126000,K80.300x002,胆管结石伴胆管炎
126001,K80.300x005,胆总管结石伴急性化脓性梗阻性胆管炎
126002,K80.301,胆总管结石伴急性化脓性胆管炎
126003,K80.302,胆总管结石伴胆管炎
126004,K80.303,肝胆管结石伴胆管炎
126005,K80.304,胆总管结石伴急性胆管炎
126006,K80.305,肝内胆管结石伴胆管炎
126007,K80.306,肝外胆管结石伴胆管炎
126008,K80.400,胆管结石伴有胆囊炎
126009,K80.400x004,肝内胆管结石伴慢性胆囊炎
126010,K80.401,胆管结石伴急性胆囊炎
126011,K80.402,胆总管结石伴急性胆囊炎
125078,K28.401,空肠溃疡伴出血
125079,K28.500,慢性胃空肠溃疡伴有穿孔
125080,K28.500x001,吻合口溃疡伴穿孔
125081,K28.600,慢性胃空肠溃疡伴有出血和穿孔
125082,K28.600x001,空肠溃疡伴出血和穿孔
125084,K28.900,急性或慢性胃空肠溃疡不伴有出血或穿孔
125085,K28.900x001,吻合口溃疡
125086,K28.900x002,吻合口溃疡伴梗阻
125087,K28.901,空肠溃疡
125088,K29.000,急性出血性胃炎
125090,K29.100,急性胃炎，其他的
125091,K29.100x001,急性胃炎
125092,K29.101,急性糜烂性胃炎
125093,K29.200,酒精性胃炎
125094,K29.300,慢性浅表性胃炎
125096,K29.500,慢性胃炎
125097,K29.501,慢性胃窦炎
125098,K29.600,胃炎，其他的
125099,K29.600x006,反流性胃炎
125100,K29.600x007,应激性胃炎
125103,K29.603,糜烂性胃炎
125104,K29.604,梅内特里耶病
125105,K29.605,肉芽肿性胃炎
125107,K29.608,药物性胃炎
125108,K29.700,胃炎
125109,K29.700x002,胃炎性假瘤
125110,K29.701,残胃炎
125111,K29.800,十二指肠炎
115375,D40.700x002,精囊交界性肿瘤
115376,D40.700x003,阴茎纤维瘤病
115377,D40.701,阴茎动态未定肿瘤
115378,D40.702,阴茎肿瘤
115379,D40.703,男性生殖器官皮肤动态未定肿瘤
115380,D40.704,男性生殖器官皮肤肿瘤
115381,D40.900,男性生殖器官的动态未定或动态未知的肿瘤
115382,D40.900x001,男性生殖器官交界性肿瘤
115383,D40.901,男性生殖器官肿瘤
115384,D41.000,肾动态未定或动态未知的肿瘤
115385,D41.000x001,肾交界性肿瘤
115386,D41.001,肾肿瘤
115387,D41.100,肾盂动态未定或动态未知的肿瘤
115388,D41.100x001,肾盂交界性肿瘤
115389,D41.101,肾盂肿瘤
115390,D41.200,输尿管动态未定或动态未知的肿瘤
115391,D41.200x001,输尿管交界性肿瘤
115392,D41.201,输尿管肿瘤
115393,D41.300,尿道动态未定或动态未知的肿瘤
115394,D41.300x001,尿道交界性肿瘤
115395,D41.301,尿道肿瘤
115396,D41.400,膀胱动态未定或动态未知的肿瘤
115397,D41.400x001,膀胱交界性肿瘤
115398,D41.400x004,膀胱息肉
115399,D41.401,膀胱肿瘤
115400,D41.700,泌尿器官动态未定或动态未知的肿瘤，其他的
115401,D41.900,泌尿器官的动态未定或动态未知的肿瘤
115402,D41.900x001,泌尿生殖系统交界性肿瘤
115403,D41.901,泌尿系统肿瘤
115405,D42.000x001,脑膜交界性肿瘤
115406,D42.000x002,硬脑膜下交界性肿瘤
115407,D42.001,脑膜肿瘤
115408,D42.002,硬脑膜下动态未定肿瘤
115409,D42.003,硬脑膜下肿瘤
115411,D42.100x001,脊膜交界性肿瘤
115412,D42.100x002,硬脊膜下交界性肿瘤
115413,D42.101,脊膜肿瘤
115414,D42.900,脑脊膜的动态未定或动态未知的肿瘤
115415,D42.900x001,脑脊膜交界性肿瘤
115416,D42.900x002,硬膜下交界性肿瘤
115418,D43.000,脑幕上动态未定或动态未知的肿瘤
115419,D43.000x001,枕叶交界性肿瘤
115421,D43.000x003,额叶交界性肿瘤
115422,D43.000x004,顶叶交界性肿瘤
115423,D43.000x005,颞叶交界性肿瘤
116177,D70.x00x011,TAFRO综合征
116178,D70.x01,急性粒细胞缺乏症
116181,D70.x04,白细胞减少
116182,D70.x05,中性粒细胞减少症
116183,D70.x06,中性粒细胞减少性脾肿大
125426,K55.100x006,慢性缺血性结肠炎
125427,K55.100x008,慢性缺血性结肠小肠炎
125428,K55.101,肠系膜动脉狭窄
125429,K55.102,肠系膜上动脉狭窄
125430,K55.103,肠系膜动脉硬化
125431,K55.104,肠系膜动脉供血不足
125432,K55.105,肠系膜上动脉压迫综合征
125433,K55.106,慢性缺血性小肠炎
125434,K55.200,结肠血管发育不良
125435,K55.200x013,肠血管增生
125436,K55.201,结肠血管扩张症
125437,K55.202,肠血管发育不良
125438,K55.300,小肠血管发育不良
125439,K55.300x001,小肠毛细血管扩张
125440,K55.800,肠血管疾患，其他的
125441,K55.800x003,十二指肠动脉破裂
125442,K55.800x004,十二指肠动脉压迫综合征
125443,K55.801,肠系膜动脉炎
125444,K55.900,肠血管疾患
125445,K55.900x004,缺血性肠病伴出血
125446,K55.901,缺血性小肠炎
125447,K55.902,缺血性肠病
125448,K56.000,麻痹性肠梗阻
125449,K56.001,神经源性肠梗阻
125450,K56.100,肠套叠
125452,K56.102,直肠套叠
125453,K56.200,肠扭转
125454,K56.200x003,肠系膜扭转
125455,K56.200x011,空肠扭转
125456,K56.201,绞窄性肠梗阻
125457,K56.202,肠绞窄
125458,K56.203,结肠扭转
125459,K56.300,胆石性肠梗阻
125460,K56.400,肠的其他嵌塞
125461,K56.400x001,粪便嵌塞
125463,K56.401,肠结石
125464,K56.500,肠粘连(带)伴有梗阻
125465,K56.500x003,粘连性肠梗阻
125466,K56.501,腹膜粘连伴肠梗阻
125468,K56.600,肠梗阻，其他和未特指的
125469,K56.600x001,肠绞窄坏死
125470,K56.600x005,痉挛性肠梗阻
125471,K56.600x008,结肠梗阻
125473,K56.602,乙状结肠狭窄
125474,K56.603,肠梗阻伴坏死
125475,K56.604,机械性肠梗阻
125478,K56.701,不完全性肠梗阻
125479,K57.000,小肠憩室病伴有穿孔和脓肿
114526,D17.500x001,肠系膜脂肪瘤
114527,D17.500x003,肠脂肪瘤
114529,D17.500x005,盆腔脂肪瘤
114530,D17.500x007,回盲部脂肪瘤
114531,D17.500x008,胃脂肪瘤
114532,D17.500x009,十二指肠球部脂肪瘤
114534,D17.500x011,腹壁脂肪瘤
114535,D17.600,精索良性脂肪瘤样肿瘤
115609,D48.017,骶骨肿瘤
115610,D48.018,上肢骨动态未定肿瘤
115611,D48.019,上肢骨肿瘤
115612,D48.020,下肢骨动态未定肿瘤
115613,D48.021,下肢骨肿瘤
115614,D48.022,关节动态未定肿瘤
115615,D48.023,关节肿瘤
115616,D48.100,结缔组织和其他软组织动态未定或动态未知的肿瘤
115617,D48.100x003,骶前结缔组织交界性肿瘤
115618,D48.100x006,滑膜交界性肿瘤
115619,D48.100x007,结缔组织交界性肿瘤
115620,D48.100x008,颈静脉交界性肿瘤
115621,D48.100x009,软组织交界性肿瘤
116380,D89.200,高丙球蛋白血症
116381,D89.300,免疫重建综合征
116382,D89.301,免疫重建炎性综合症
116383,D89.800,涉及免疫机制其他特指的疾患，不可归类在他处者
116384,D89.800x002,γ-球蛋白增高
116385,D89.800x003,克罗-深濑综合征
116386,D89.801,POEMS综合征
116387,D89.900,涉及免疫机制的疾患
116388,E00.000,先天性碘缺乏综合征，神经病型
116389,E00.000x002,神经病型地方性呆小病
116390,E00.100,先天性碘缺乏综合征，黏液水肿型
116391,E00.100x002,粘液水肿型地方性呆小病
116392,E00.100x003,甲状腺功能减退型地方性呆小病
116393,E00.200,先天性碘缺乏综合征，混合型
116394,E00.200x002,混合型地方性呆小病
116395,E00.900,先天性碘缺乏综合征
116396,E00.900x002,先天性碘缺乏性甲状腺功能减退症
116397,E00.900x004,地方性克汀病
116398,E00.900x005,散发性克汀病
116400,E01.000,碘缺乏相关性弥漫性（地方性）甲状腺肿
116402,E01.000x003,碘缺乏相关性弥漫性胸骨后甲状腺肿
116404,E01.100x002,碘缺乏相关性多结节性胸骨后甲状腺肿
116405,E01.100x003,碘缺乏相关性结节性甲状腺肿
116407,E01.200x001,幼年期缺碘性甲状腺肿
116408,E01.201,地方性甲状腺肿
116409,E01.800,碘缺乏相关性甲状腺疾患和有关情况，其他的
116410,E01.800x002,后天性碘缺乏性甲状腺功能减退症
116412,E01.802+F02.8*,后天性甲状腺机能减退性痴呆
116413,E02.x00,临床症状不明显［亚临床］的碘缺乏性甲状腺功能减退症
116415,E03.000x002,先天性非毒性甲状腺肿
116416,E03.000x004,先天性实质的甲状腺肿
116417,E03.001,先天性甲状腺肿
114536,D17.600x001,精索脂肪瘤
114537,D17.700,良性脂肪瘤样肿瘤，其他部位的
114538,D17.700x001,鞍区脂肪瘤
114539,D17.700x003,喉脂肪瘤
