id,name,spec
63aaa9ce3c6f491b3d75406f,酚麻美敏片,1g/粒
63aaaa393c6f491b3d75407b,对乙酰氨基酚缓释片,1g/片
63ad61533c6f493fd0e64965,盐酸二甲双胍片(格华止),0.5g/片
63ae7cea3c6f49675191892e,头孢克肟注射剂,5ml/支
63ae7d273c6f496751918942,注射用盐酸头孢吡肟,5ml/支
63b3efee3c6f4910d95514e3,酚麻美敏片,5mg/粒
63b7dfe93c6f494c13d91fb6,聚维酮碘溶液,25ml
63bcc02b3c6f490726e7caaf,缬沙坦氨氯地平片（I）,5mg/片
63bcc0b93c6f490726e7cac9,苯磺酸氨氯地平片,5mg/片
63bcc1343c6f490726e7cae8,拉西地平片,4mg/片
63bcc1a53c6f490726e7cb2a,阿卡波糖片,50mg/片
63bcc2263c6f490726e7cb79,那格列奈片,120mg/片
63d76b5e3c6f49777816fa07,5%葡萄糖注射液,100ml/袋
64014fc63c6f496ae9351a93,布洛芬混悬液,1ml
644a2d1d3c6f493347b8cde2,0.9%氯化钠注射液,1ml
646dbcc33c6f490d15478335,艾司唑仑片,1mg/片
646dbeac3c6f490d15478371,盐酸利多卡因注射液,2ml/支
64794c5b3c6f491d2de772d0,酚酞片,5mg/片
647983493c6f491d2de77a58,非布司他片,20mg/片
64a28b523c6f495719c865bb,阿莫西林零差价,12.5mg/粒
64bf2c2c3c6f4967d0661031,二甲双胍格列本脲胶囊,1粒
64d1f3ab3c6f497797ece462,给药方式测试,1mg
64d1f3db3c6f497797ece472,测试默认频次,1IU/mg
64d210243c6f491b824fcc94,阿莫西林胶囊,5mg/粒
64d32f553c6f4948d06f7c44,恩格列净片,10mg/片
64dad8283c6f490f62264186,西瓜霜含片,10g/片
64db62dd3c6f494b1ff5dd72,格列齐特缓释片,30mg/片
64dc2ab03c6f494b1ff601b8,消旋山莨菪碱注射液,1ml/支
64dd8a043c6f492fa34d50e8,护肝片,2g/片
64ec0c123c6f491e24eace14,非布司他片,40mg/片
64fa73be3c6f4926b525ce3f,氯雷他定片,10mg/片
650907f23c6f491061da8ca5,氯沙坦钾片（倍怡）,50mg/片
650907f23c6f491061da8ca6,缬沙坦胶囊（穗悦）,80mg/粒
650907f23c6f491061da8ca7,培哚普利叔丁胺片,4mg/片
650907f23c6f491061da8ca8,氯沙坦钾氢氯噻嗪片,50mg：12.5mg/片
650907f23c6f491061da8ca9,缬沙坦胶囊（代文）,80mg/粒
650907f23c6f491061da8cdb,厄贝沙坦片（安来）,75mg/片
650907f23c6f491061da8cde,厄贝沙坦片（安博维）,150mg/片
650907f23c6f491061da8ce8,厄贝沙坦氢氯噻嗪片（安博诺）,150mg:12.5mg/片
6524ef2b3c6f495f59222c86,0.9%氯化钠注射液,250ml/瓶
6524ef2b3c6f495f59222c87,0.9%氯化钠注射液,500ml/瓶
6524f0453c6f495f59222d2e,10%葡萄糖注射液,250ml/瓶
6524f5b23c6f495f59222fd0,阿莫西林颗粒,0.125g/袋
6524f9873c6f495f59223091,阿魏酸哌嗪片,50mg/粒
6524f9873c6f495f59223092,阿魏酸哌嗪片,50mg/粒
652503c23c6f495f5922355c,盐酸二甲双胍缓释片,0.5g/片
652503c23c6f495f59223568,盐酸二甲双胍缓释片,0.5g/片
6525068f3c6f495f59223616,养血当归糖浆,200ml/瓶
652533a63c6f497c0509dbc0,硫酸阿米卡星注射液,0.2g:2ml/支
652606a03c6f497c0509e0ce,酚磺乙胺注射液,0.5g:2ml/支
6528ee8b3c6f49335f9a3835,瑞格列奈片,1mg/片
652f8db73c6f497341af4f9c,阿莫西林,0.125mg/粒
656eec92e234d25114a24273,维生素Bd,10mg/g
65f2772d3c6f491363e2085c,自备药(肌肉注射),1ml/支
65f278ef3c6f491363e20b9b,自备药(雾化吸入),1ml/支
660a765f3c6f490c387a530d,复方甘草片,10粒/盒
66124ff43c6f490c387aa9eb,六味地黄丸,10粒/盒
661254983c6f490c387aab80,感冒灵颗粒,10粒/盒
661256c13c6f490c387aac29,九味地黄丸,10粒/盒
66125b323c6f490c387aad24,盐酸二甲双胍片,20粒/盒
661ddd363c6f4928db3c172a,氯化钠,100ml/瓶
66b5697215fc8c00016bb998,益母草颗粒,10ml/粒
66b5697215fc8c00016bb99e,心神宁片,6g/袋
66b5697215fc8c00016bb9a4,妇科十味片,6g/片
66b5697215fc8c00016bb9aa,健胃消食口服液,5mg/丸
66b5697215fc8c00016bb987,益母草颗粒,15g/片
66b5697215fc8c00016bb98d,藻酸双酯钠片,0.25g/片
66b5697215fc8c00016bb993,葡萄糖酸钙注射液,0.3g/支
66b5697215fc8c00016bb9b0,活血解毒丸,6g/粒
66b31d9615fc8c00016b45ee,苓桂咳喘宁胶囊,0.34g/粒
66b31d9615fc8c00016b45f4,维生素C注射液,5ml:0.5g
66bdb3fd3a9630000130191a,吸入用布地奈德混悬液,1支（2ml:1mg）
66bdb5ac3a963000013019e2,吸入用硫酸沙丁胺醇溶液,2.5ml/支
66bdb80f3a96300001301ade,阿司匹林肠溶片,25mg/片
66bdb8ea3a96300001301aeb,丙戊酸钠片,1mg/片
66bdb0623a9630000130182a,左氧氟沙星滴眼液,5ml/瓶
66bda6453a96300001301241,阿莫西林胶囊,0.25g/粒
66bdaa983a963000013015ed,聚维酮碘溶液,500ml:25g(5%)/瓶
672439423f52ab000135d6c5,碳酸氢钠注射液,10ml:0.5g/支
685e55377f9a6f00014a2a92,阿托伐他汀钙片,20mg/片
68fae26d55ccdf00016f3fbc,六味地黄丸,6g/丸
69169fefea87320001fdc6d1,抗菌药物品测试,2U/g
66f27af3b365060001da83c2,艾司唑仑片(南京),1mg/片
676bbc9e3373d2000166a11d,测试药品,1IU
676bc5bf3373d2000166a547,测试药品（2）,1IU
67b6cff0de088d00016c3520,哌醋甲酯缓释片,5mg/片
6808311a5200ed0001810a9c,追溯三,10mg/袋
68bf832acd22760001cf825b,富马酸比索洛尔片,5mg/片
694df506920bee0001402e49,头孢呋辛酯片,0.25g/片
6954ca580939a200012a2d62,氯雷他定片,20mg/片
6789f591ddd8d900015c58cb,红霉素软膏,10g:0.1g(1%)
