id,name,spec
ID_MED_PRO,NA_MED_PRO,SPEC_SALE
63aaa9ce3c6f491b3d754077,酚麻美敏片,20粒/盒
63aaaa393c6f491b3d754083,对乙酰氨基酚缓释片,10片/盒
63ad61533c6f493fd0e6496d,盐酸二甲双胍片(格华止),20片/盒
63ae7cea3c6f496751918934,头孢克肟注射剂,5ml/支
63ae7d273c6f496751918948,注射用盐酸头孢吡肟,5ml/支
64014fc63c6f496ae9351a9d,美林,35ml/瓶
64014fc63c6f496ae9351a9f,美林,100ml/瓶
6410135b3c6f49279a2c4abe,一次性注射器（5ml）,5ml/支
644a2d1d3c6f493347b8cdec,0.9%氯化钠注射液,100ml/瓶
644a2d1d3c6f493347b8cdee,0.9%氯化钠注射液,250ml/瓶
646dbcc33c6f490d1547833f,艾司唑仑片,1mg*20片/盒
646dbeac3c6f490d15478377,盐酸利多卡因注射液,2ml*2ml/支
64794c5b3c6f491d2de772da,酚酞片,5mg*14片/盒
64797fc23c6f491d2de77999,酚酞片,5mg/片
647981803c6f491d2de779c3,酚酞片,5mg*7片/盒
647983493c6f491d2de77a60,非布司他片,20mg/片
647983493c6f491d2de77a62,非布司他片,20mg*20片/盒
64799399f70fe20a1ce495bc,非布司他片,20mg/片
647daf1e3c6f493416323024,一次性输液器,1支/支
64a28b523c6f495719c865c3,阿莫西林零差价,12.5mg*10粒/盒
64bf2c2c3c6f4967d0661039,二甲双胍格列本脲胶囊,1粒*12粒/盒
64d1f3ab3c6f497797ece468,给药方式测试,1mg
64d1f3db3c6f497797ece478,测试默认频次,1IU/mg
64d210243c6f491b824fcc9c,阿莫西林胶囊,5mg*14粒/盒
64d210433c6f491b824fcca5,阿莫西林胶囊,5mg/粒
64d3051e3c6f4948d06f76d6,二甲双胍格列本脲胶囊,1粒*12粒/盒
64d32f553c6f4948d06f7c4c,恩格列净片,10mg*10片/盒
64d32f763c6f4948d06f7c55,恩格列净片,10mg*21片/盒
64dad8283c6f490f6226418c,西瓜霜含片,10g/片
64db62dd3c6f494b1ff5dd7c,格列齐特缓释片,30mg*7片/盒
64db62dd3c6f494b1ff5dd7e,格列齐特缓释片,30mg*14片/盒
63b3efee3c6f4910d95514eb,酚麻美敏片,20粒/盒
63b7dfe93c6f494c13d91fbe,聚维酮碘溶液,500ml/瓶
63bcc02b3c6f490726e7caba,缬沙坦氨氯地平片（I）,7片/盒
63bcc0b93c6f490726e7cad1,苯磺酸氨氯地平片,28片/盒
63bcc1343c6f490726e7caf0,拉西地平片,7片/盒
63bcc1a53c6f490726e7cb32,阿卡波糖片,30片/盒
64dc2ab03c6f494b1ff601be,654-2针,1ml/支
64dd8a043c6f492fa34d50f2,护肝片,100片/盒
64dd8a043c6f492fa34d50f4,护肝片,200片/盒
64ddb6243c6f494d7e983a02,西瓜霜含片,10g*100片/袋
64ec0c123c6f491e24eace1c,优立通,40mg*16片/盒
64fa73be3c6f4926b525ce47,氯雷他定片,10mg*12片/盒
650907f23c6f491061da8ccd,氯沙坦钾氢氯噻嗪片,28片/盒
650907f23c6f491061da8cce,培哚普利叔丁胺片,30片/盒
650907f23c6f491061da8ccf,倍怡,14片/盒
650907f23c6f491061da8cd0,穗悦,24粒/盒
650907f23c6f491061da8cd1,代文,7粒/盒
650907f23c6f491061da8cea,厄贝沙坦片（安来）,28片/盒
650907f23c6f491061da8cf5,安博维,7片/盒
66b31d9615fc8c00016b45f7,维生素C注射液,5ml:0.5g/支
650907f23c6f491061da8cf7,安博诺,12.5mg*7片/盒
6524ef2b3c6f495f59222c92,0.9%氯化钠注射液,250ml*1瓶/瓶
6524ef2b3c6f495f59222c94,0.9%氯化钠注射液,500ml*1瓶/瓶
6524f0453c6f495f59222d34,10%葡萄糖注射液,250ml*1瓶/瓶
6524f5b23c6f495f59222fd8,阿莫西林颗粒,0.125g*24袋/盒
6524f9873c6f495f592230a1,阿魏酸哌嗪片,50mg*50粒/盒
63bcc2263c6f490726e7cb81,那格列奈片,12片/盒
63d76b5e3c6f49777816fa0d,5%葡萄糖注射液,100ml/袋
6524f9873c6f495f592230a2,阿魏酸哌嗪片,50mg*100粒/瓶
6524fe303c6f495f59223248,121化学指示卡,200片*1盒/盒
6524ff373c6f495f5922337b,23价肺炎球菌多糖疫苗,1ml*1支/支
652503c23c6f495f59223564,盐酸二甲双胍缓释片,0.5g*30片/盒
652503c23c6f495f59223570,盐酸二甲双胍缓释片,0.5g*30片/盒
6525068f3c6f495f5922361c,养血当归糖浆,200ml*1瓶/瓶
652533a63c6f497c0509dbc6,硫酸阿米卡星注射液,0.2g:2ml*1支/支
652606a03c6f497c0509e0d4,酚磺乙胺注射液,0.5g:2ml/支
6528ee8b3c6f49335f9a383f,瑞格列奈片,1mg*60片/瓶
6528ee8b3c6f49335f9a3841,瑞格列奈片,1mg*100片/瓶
652b79b73c6f493e865c75e1,一次性针头5ml,1支/支
652f8db73c6f497341af4fa1,阿莫西林,0.125mg*10粒/盒
652f8ee03c6f497341af4fe9,阿莫西林,0.125mg*100粒/瓶
653270053c6f4979b5cf39f5,狂犬疫苗,1支
65363a673c6f4979b5cf5456,人用狂犬病疫苗,0.5ml/支
65363aa93c6f4979b5cf545b,医用敷贴,1包/包
653642e53c6f4979b5cf5a8c,医用敷贴,10包/盒
6536435c3c6f4979b5cf5b0d,医用纱布,100卷/包
654093103c6f4904e8a90fb8,恩格列净片,10mg*10片/盒
654094643c6f4904e8a91038,二甲双胍格列本脲胶囊,5mg/粒
6553657b3c6f49426b5aad88,医用纱布3,1卷/卷
65f2772d3c6f491363e2085f,自备药(肌肉注射),1ml/支
65f278ef3c6f491363e20b9e,自备药(雾化吸入),1ml/支
661ddd363c6f4928db3c172f,氯化钠,100ml*10瓶/盒
66b5697215fc8c00016bb98b,益母草颗粒,45片/盒
66f27af3b365060001da83c6,艾司唑仑片(南京),1mg*20片/盒
66f3a557b365060001da9bb7,头孢曲松钠,0.25mg*12粒/盒
66f3a576b365060001da9bb8,头孢曲松钠,0.25mg*24粒/盒
66f3a5a3b365060001da9bb9,头孢曲松钠,0.25mg*12粒/盒
670f6bc2271ecf0001545c27,四价流感病毒裂解疫苗,0.5ml/支
6717633c17ba390001f03202,艾司唑仑片,1mg*100片/盒
672439423f52ab000135d6c9,碳酸氢钠注射液,10ml:0.5g*5支/盒

677ddbc2ddd8d900015b7128,维生素C片,5mg*100片/盒
67b6cff0de088d00016c3524,哌醋甲酯缓释片,5mg*100片/盒
680605df5200ed000180e24f,感冒炎咳灵颗粒,100g/袋
685e55377f9a6f00014a2a96,阿托伐他汀钙片,20mg*7片/盒
68fae26d55ccdf00016f3fc0,六味地黄丸,6g*60丸/瓶
69a7ca5261014200015a46e8,珍视明滴眼液,5ml/瓶
69a9238961014200015aa7f0,麻黄素,1U/g
6789f591ddd8d900015c58ce,红霉素软膏,10g:0.1g(1%)
6789f5d9ddd8d900015c58d2,红霉素软膏,8g:80mg(1%)
68bf999dcd22760001cf9486,氨氯地平片,5mg*7片/盒
6964c0805d1017000101bfa0,测试药品一,0.43g/袋
690181d9ad8f590001482f3a,速效救心丸,300丸/盒
6892f2bf9199590001040645,阿司匹林肠溶片,100mg*30片/盒
687ef9095bd2310001412a22,测试商品中心新增保存,1g/包
68ca9de78601530001071811,氨氯地平片,5mg*7片/盒
69097069a23c2b00018a8e4f,益安宁片,5粒*24mg/盒
6717655817ba390001f032ea,多潘立酮片,40片/包
678a1872ddd8d900015c6291,碳酸钙D3颗粒,0.5g:5ug(200IU)*12袋/盒
67da9949cf8a8200019fd901,氨茶碱片,0.1g*24片/盒
6811d49a3a484f0001e2c96b,地西泮片,5mg*100片/瓶
68bf832acd22760001cf825f,富马酸比索洛尔片,5mg/片
6734219c51101d0001be0673,利巴韦林注射液（塑料安瓿）,1ml:0.1g/支
6734219c51101d0001be0674,利巴韦林注射液,1ml:0.1g/支
6734220551101d0001be0678,利巴韦林注射液（塑料安瓿）,2ml:0.1g/支
6964c1a55d1017000101c50f,测试药品一,0.43g*30袋/盒
69a8ec6e61014200015a8d52,卡介苗(免费),10mg/支
67a5d0e056f36e0001ee1102,酚麻美敏片,复方*10片/盒
67b44e840e0f0f0001164de6,维生素C片,5mg*20片/盒
67f8b86a0f4c240001a03263,清血八味,10mg*12片/盒
6808311a5200ed0001810aa0,追溯码三,10mg*12袋/盒
6892f4d09199590001040881,吲达帕胺片,2.5mg*36片/盒
69b7bc1720deb000019061dc,维生素B,2mg*100片/盒

