id,code,name,keywords
TCM000003,A01.01.01,感冒,
TCM000004,A01.01.01.01,伤风,
TCM000005,A01.01.01.02,时行感冒,时邪感冒
TCM000007,A01.01.02.01,疰夏,
TCM000008,A01.01.02.02,冒暑病,冒暑|伤暑
TCM000009,A01.01.02.03,中暑,
TCM000010,A01.01.02.03.01,暑脱,
TCM000011,A01.01.02.03.02,暑厥,暑闭
TCM000012,A01.01.02.03.03,暑风,暑痉
TCM000013,A01.01.02.04,暑秽病,暑秽
TCM000014,A01.01.03,湿阻病,湿阻|冒湿|伤湿
TCM000015,A01.01.04,秋燥病,秋燥
TCM000016,A01.01.04.01,温燥病,
TCM000017,A01.01.04.02,凉燥病,寒燥病
TCM000019,A01.02.01,太阳病,
TCM000020,A01.02.02,阳明病,
TCM000021,A01.02.03,少阳病,
TCM000022,A01.02.04,太阴病,
TCM000023,A01.02.05,少阴病,
TCM000024,A01.02.06,厥阴病,
TCM000027,A01.03.01.01,新感温病,
TCM000028,A01.03.01.02,伏气温病,伏邪温病
TCM000032,A01.03.03,风温病,风温|风温肺热病|风瘟病|风瘟
TCM000033,A01.03.04,春温病,春温|春瘟病|春瘟
TCM000034,A01.03.05,暑温病,暑温|小儿暑温|暑瘟病|暑瘟|小儿暑瘟病
TCM000035,A01.03.06,湿温病,湿温|湿瘟病|湿瘟
TCM000036,A01.03.07,伏暑病,伏暑
TCM000037,A01.03.08,冬温病,冬温|冬瘟病|冬瘟
TCM000038,A01.03.09,风疹,风痧|小儿风痧
TCM000039,A01.03.10,水痘,
TCM000040,A01.03.11,瘟毒病,瘟疫发斑|时疫发斑|温毒发斑|瘟毒发斑
TCM000041,A01.03.12,大头瘟,
TCM000042,A01.03.13,软脚瘟,
TCM000043,A01.03.14,肝热病,
TCM000044,A01.03.15,肝瘟,瘟黄|疫黄|急黄
TCM000045,A01.03.16,痧病,痧气|痧胀
TCM000046,A01.03.17,瘴病,瘴气病|瘴毒病
TCM000047,A01.03.18,疟疾,
TCM000048,A01.03.18.01,正疟,间日疟|三日疟
TCM000049,A01.03.18.02,瘴疟,疫疟
TCM000050,A01.03.18.03,久疟,劳疟
TCM000051,A01.03.18.04,疟母,
TCM000052,A01.03.19,痢疾,肠澼|滞下
TCM000053,A01.03.19.01,湿热痢,暴痢
TCM000054,A01.03.19.02,疫毒痢,
TCM000055,A01.03.19.03,噤口痢,
TCM000056,A01.03.19.04,寒湿痢,
TCM000057,A01.03.19.05,休息痢,
TCM000058,A01.03.19.06,奇恒痢,
TCM000060,A01.03.20.01,肺痨,
TCM000061,A01.03.20.02,脑痨,
TCM000062,A01.03.20.03,乳痨,
TCM000063,A01.03.20.04,肝痨,
TCM000064,A01.03.20.05,肾痨,
TCM000065,A01.03.20.06,痨淋,
TCM000066,A01.03.20.07,肠痨,
TCM000067,A01.03.20.08,干血痨,
TCM000068,A01.03.20.09,流痰,骨痨|穿骨流注
TCM000069,A01.03.20.09.01,附骨痰,
TCM000070,A01.03.20.09.02,龟背痰,
TCM000071,A01.03.20.09.03,肾俞虚痰,
TCM000072,A01.03.20.09.03.01,肾俞漏,
TCM000073,A01.03.20.09.04,蜣螂蛀,
TCM000074,A01.03.20.09.05,腕疽,
TCM000075,A01.03.20.09.06,鹤膝痰,
TCM000076,A01.03.20.09.07,穿拐痰,
TCM000077,A01.03.20.09.08,足跟疽,
TCM000078,A01.03.21,鼠疫,核瘟|核疫
TCM000079,A01.03.22,疫霍乱,时疫霍乱
TCM000080,A01.03.22.01,湿霍乱,
TCM000081,A01.03.22.02,干霍乱,搅肠痧|斑痧|乌痧胀
TCM000082,A01.03.23,麻疹,
TCM000083,A01.03.24,烂喉丹痧,丹痧|喉痧|烂喉痧|疫喉痧|小儿烂喉丹痧|猩红热
TCM000084,A01.03.25,白喉,
TCM000085,A01.03.26,顿咳,小儿顿嗽|百日咳|天哮|鹭鸶咳
TCM000086,A01.03.27,痄腮,小儿痄腮|蛤蟆瘟|鸬鹚瘟|含腮疮|腮颌发
TCM000087,A01.03.28,疫斑热,
TCM000088,A01.03.29,稻瘟病,
TCM000089,A01.03.30,沙虱病,恙虫病
TCM000090,A01.03.31,炭疽,
TCM000091,A01.03.32,麻风病,大麻风|疠风
TCM000092,A01.03.33,天花,痘疹|痘疮|天行时痘
TCM000094,A01.04.01,艾滋病,
TCM000095,A01.04.02,梅毒,
TCM000096,A01.04.02.01,杨梅疮,杨梅疹
TCM000097,A01.04.02.02,杨梅结毒,
TCM000098,A01.04.02.03,梅毒攻心,
TCM000099,A01.04.02.04,梅毒致痿,
TCM000100,A01.04.02.05,胎传梅毒,
TCM000101,A01.04.03,下疳,
TCM000102,A01.04.03.01,硬下疳,
TCM000103,A01.04.03.02,软下疳,
TCM000104,A01.04.04,横痃,鱼口|便毒
TCM000105,A01.04.05,花柳毒淋,
TCM000107,A02.01,蛔虫病,小儿蛔虫病
TCM000108,A02.02,绦虫病,小儿绦虫病|寸白虫病
TCM000109,A02.03,囊虫病,小儿囊虫病
TCM000110,A02.04,钩虫病,小儿钩虫病|黄胖病|黄肿病
TCM000111,A02.05,蛲虫病,小儿蛲虫病
TCM000112,A02.06,姜片虫病,小儿姜片虫病|赤虫病|扁虫病
TCM000113,A02.07,丝虫病,小儿丝虫病
TCM000114,A02.08,肺吸虫病,肺虫病
TCM000115,A02.09,鞭虫病,
TCM000116,A02.10,肝吸虫病,肝虫病
TCM000117,A02.11,包虫病,
TCM000118,A02.12,血吸虫病,小儿血吸虫病|蛊虫病
TCM000119,A02.12.01,急性血吸虫病,急性蛊虫病
TCM000120,A02.12.02,慢性血吸虫病,慢性蛊虫病
TCM000121,A02.12.03,晚期血吸虫病,晚期蛊虫病
TCM000124,A03.01.01,钩吻中毒,断肠草中毒|水莽草中毒
TCM000125,A03.01.02,雷公藤中毒,黄藤木中毒|红药中毒
TCM000126,A03.01.03,乌头类中毒,乌头中毒|附子中毒|天雄中毒
TCM000127,A03.01.04,杏仁中毒,
TCM000129,A03.02.01,食郁肉中毒,
TCM000130,A03.02.02,鱼蟹类中毒,
TCM000131,A03.02.02.01,河豚中毒,
TCM000132,A03.02.03,毒蕈中毒,
TCM000133,A03.02.04,菜乌紫病,
TCM000134,A03.03,中煤毒病,煤气中毒
TCM000136,A03.04.01,烟瘾,
TCM000137,A03.04.02,酒瘾,酒客病
TCM000138,A03.04.03,毒瘾,
TCM000140,A03.05.01,蜈蚣螫伤,
TCM000141,A03.05.02,蜂螫伤,
TCM000142,A03.05.03,蝎螫伤,
TCM000143,A03.05.04,蜘蛛咬伤,
TCM000144,A03.05.05,松毛虫伤,
TCM000145,A03.05.06,蠼螋伤,
TCM000146,A03.05.07,射工伤,
TCM000147,A03.05.08,蚂蝗咬伤,
TCM000148,A03.05.09,水毒,
TCM000149,A03.05.10,野屎风,粪毒块
TCM000152,A03.06.01.01,开放性骨折,
TCM000153,A03.06.01.02,陈旧性骨折,
TCM000154,A03.06.01.03,锁骨骨折,缺盆骨损折|锁子骨断伤|井栏骨折断
TCM000155,A03.06.01.04,肩胛骨骨折,饭匙骨骨折|琵琶骨骨折|锹板子骨骨折
TCM000156,A03.06.01.05,肱骨骨折,臑骨上段骨折|臑骨肩端骨折|臂膊骨伤折|臑骨下端骨折
TCM000157,A03.06.01.06,尺骨骨折,肘骨骨折|臂骨骨折
TCM000158,A03.06.01.07,桡骨骨折,辅骨上端骨折|辅骨骨折|缠骨骨折|辅骨下端骨折
TCM000159,A03.06.01.08,尺桡骨干双骨折,手骨两胫俱断|断臂辅两骨|前臂双骨折
TCM000160,A03.06.01.09,腕舟骨骨折,高骨骨折|龙骨骨折
TCM000161,A03.06.01.10,掌骨骨折,驻骨骨折|壅骨骨折
TCM000162,A03.06.01.11,指骨骨折,竹节骨骨折
TCM000163,A03.06.01.12,股骨骨折,
