id,code,name,keywords
TCMS000001,B01.,八纲证候类术语,
TCMS000002,B01.01.,阴证,
TCMS000003,B01.02.,阳证,
TCMS000004,B01.03.,表证,
TCMS000005,B01.03.01,表虚证,
TCMS000006,B01.03.02,表实证,
TCMS000007,B01.03.02.01,表闭水停证,
TCMS000008,B01.04.,里证,
TCMS000009,B01.04.01,里虚证,
TCMS000010,B01.04.02,里实证,
TCMS000011,B01.05.,寒证,
TCMS000012,B01.05.01,表寒证,
TCMS000013,B01.05.02,里寒证,内寒证
TCMS000014,B01.05.03,表里实寒证,表里俱寒证
TCMS000015,B01.05.03.01,表寒里饮证,
TCMS000016,B01.05.04,真寒假热证,阴盛格阳证
TCMS000017,B01.06.,热证,
TCMS000018,B01.06.01,表热证,
TCMS000019,B01.06.02,里热证,里热炽盛证；实热证
TCMS000020,B01.06.03,表里实热证,表里俱热证
TCMS000021,B01.06.04,真热假寒证,假寒真热证；热厥证；阳盛格阴证
TCMS000022,B01.07.,虚证,
TCMS000023,B01.07.01,虚寒证,里虚寒证；脏腑虚寒证；脏腑虚冷证
TCMS000024,B01.07.02,虚热证,
TCMS000025,B01.07.03,表里俱虚证,
TCMS000026,B01.07.04,真虚假实证,
TCMS000027,B01.08.,实证,
TCMS000028,B01.08.01,表里俱实证,
TCMS000029,B01.08.02,真实假虚证,
TCMS000030,B01.09.,虚实夹杂证,虚实错杂证
TCMS000031,B01.09.01.,虚中夹实证,
TCMS000032,B01.09.02.,实中夹虚证,
TCMS000033,B01.09.03.,上虚下实证,
TCMS000034,B01.09.04.,上实下虚证,上盛下虚证
TCMS000035,B01.10.,寒热错杂证,寒热夹杂证
TCMS000036,B01.10.01,表寒里热证,表寒内热证
TCMS000037,B01.10.01.01,表寒肺热证,外寒肺热证；肺热表寒证
TCMS000038,B01.10.02,表热里寒证,
TCMS000039,B01.10.03,外寒里热证,外寒内热证；客寒包火证
TCMS000040,B01.10.04,外热里寒证,外热内寒证
TCMS000041,B01.10.05,上热下寒证,下寒上热证
TCMS000042,B01.10.06,上寒下热证,下热上寒证
TCMS000043,B02.,病因证候类术语,
TCMS000044,B02.01.,邪证类,
TCMS000045,B02.01.01.,正邪相搏证,
TCMS000046,B02.01.01.01.,正盛邪实证,
TCMS000047,B02.01.01.01.01.,邪郁化热证,邪郁化火证
TCMS000048,B02.01.01.01.02.,邪气闭阻证,邪气阻闭证
TCMS000049,B02.01.01.01.02.01,邪闭清窍证,
TCMS000050,B02.01.01.01.02.02.,邪闭心窍证,
TCMS000051,B02.01.01.02.,正虚邪实证,
TCMS000052,B02.01.01.02.01,正虚瘀结证,
TCMS000053,B02.01.01.03.,正虚邪衰证,
TCMS000054,B02.01.01.03.01.,余邪未尽证,余邪留恋证
TCMS000055,B02.01.01.03.01.01,余热未清证,余热未尽证
TCMS000056,B02.01.01.03.01.02,余湿未尽证,
TCMS000057,B02.01.01.03.01.03,余毒未清证,
TCMS000058,B02.01.01.03.01.04,术后遗毒证,
TCMS000059,B02.01.01.03.02.,正虚邪恋证,正虚邪留证
TCMS000060,B02.01.01.03.02.01,邪留阴分证,邪伏阴分证
TCMS000061,B02.01.01.03.02.02,邪恋阴伤证,
TCMS000062,B02.01.02.,外邪侵入证,
TCMS000063,B02.01.02.01,邪袭卫表证,邪郁卫表证；邪在卫分证；邪遏卫气证
TCMS000064,B02.01.02.02,邪伏膜原证,邪阻膜原证
TCMS000065,B02.01.02.03.,邪犯少腹证,
TCMS000066,B02.01.02.03.01,少腹寒凝证,
TCMS000067,B02.01.02.03.02,少腹热滞证,
TCMS000068,B02.01.02.03.03,少腹湿热阻滞证,
TCMS000069,B02.01.02.03.04,少腹血瘀证,少腹瘀滞证
TCMS000070,B02.01.02.03.05,少腹瘀热证,
TCMS000071,B02.01.02.04,邪在肺卫证,邪入肺卫证；邪袭肺卫证；邪侵肺卫证；邪郁肺卫证；邪伤肺卫证
TCMS000072,B02.01.02.05,邪在气分证,邪入气分证
TCMS000073,B02.01.02.06,邪在气营证,邪入气营证
TCMS000074,B02.01.02.07,邪在营分证,邪入营分证
TCMS000075,B02.01.02.08,邪在营血证,邪入营血证；营血同病证
TCMS000076,B02.01.02.09,邪在血分证,邪入血分证
TCMS000077,B02.01.02.10.,邪入经络证,
TCMS000078,B02.01.02.10.01,邪窜经络证,
TCMS000079,B02.01.02.10.02,邪注经络证,
TCMS000080,B02.01.02.10.03,邪壅经络证,
TCMS000081,B02.01.02.10.04,邪闭经络证,经络闭阻证
TCMS000082,B02.01.02.11.,邪犯脏腑证,邪入脏腑证
TCMS000083,B02.01.02.11.01,邪扰胸膈证,
TCMS000084,B02.01.02.11.02,邪犯胸肺证,
TCMS000085,B02.01.02.11.03.,外邪犯胃证,
TCMS000086,B02.01.02.11.04.,邪犯肺胃证,邪入肺胃证；邪郁肺胃证
TCMS000087,B02.01.02.11.05,邪犯肺脾证,
TCMS000088,B02.01.02.11.06,邪犯肝脾证,
TCMS000089,B02.01.02.11.07.,邪结肠腑证,
TCMS000090,B02.01.02.11.08,邪陷心包证,邪入心包证
TCMS000091,B02.01.02.11.09,邪陷心肝证,邪犯心肝证
TCMS000092,B02.01.02.11.10,邪陷厥阴证,
TCMS000093,B02.01.02.12.,邪犯清窍证,
TCMS000094,B02.01.02.12.01.,实邪犯目证,
TCMS000095,B02.02.,风证类,风邪偏盛证
TCMS000096,B02.02.01.,外风证,
TCMS000097,B02.02.02.,内风证,
TCMS000098,B02.02.03.,风邪证,
TCMS000099,B02.02.03.01,风邪外袭证,风邪外侵证；风邪乘袭证；风邪侵袭证；外感风邪证
TCMS000100,B02.02.03.01.01,风邪袭表证,风邪犯表证
TCMS000101,B02.02.03.01.01.01,风袭表疏证,
TCMS000102,B02.02.03.01.02,风盛历节证,风胜行痹证
TCMS000103,B02.02.03.01.03,风盛血燥证,
TCMS000104,B02.02.03.02,风邪上扰证,
TCMS000105,B02.02.03.02.01,风邪犯头证,
TCMS000106,B02.02.03.02.02,风邪犯目证,风邪犯眼证
TCMS000107,B02.02.03.02.03,风邪犯鼻证,
TCMS000108,B02.02.03.02.04,风邪犯口证,风邪犯唇证
TCMS000109,B02.02.03.02.04.01,风盛脾虚证,
TCMS000110,B02.02.03.02.05,风邪犯舌证,风邪入舌证
TCMS000111,B02.02.03.02.06,风邪犯耳证,
TCMS000112,B02.02.03.03,风邪入中证,外中风证
TCMS000113,B02.02.03.03.01,风邪中络证,卫外失固，风邪中络证
TCMS000114,B02.02.03.03.01.01,风邪袭络证,
TCMS000115,B02.02.03.03.01.02,风邪阻络证,
TCMS000116,B02.02.03.03.02,风邪中经证,风中经络证；风邪外袭，经气痞塞证
TCMS000117,B02.02.03.03.03,风邪中腑证,中腑中风证
TCMS000118,B02.02.03.03.04,风邪中脏证,中脏中风证
TCMS000119,B02.02.03.04,风邪犯肺证,
TCMS000120,B02.02.03.04.01,风盛挛急证,
TCMS000121,B02.02.04.,风寒证,
TCMS000122,B02.02.04.01,风寒外袭证,风寒乘袭证；外感风寒证
TCMS000123,B02.02.04.01.01,风寒感冒证,风寒表证
TCMS000124,B02.02.04.01.01.01,风寒袭表证,
TCMS000125,B02.02.04.01.01.02,风寒束表证,
TCMS000126,B02.02.04.01.02,风寒痹阻证,
TCMS000127,B02.02.04.02,风寒上扰证,风寒上犯证
TCMS000128,B02.02.04.02.01,风寒犯头证,
TCMS000129,B02.02.04.02.02,风寒犯目证,
TCMS000130,B02.02.04.02.03,风寒袭鼻证,
TCMS000131,B02.02.04.02.04,风寒袭咽证,风寒袭喉证
TCMS000132,B02.02.04.03,风寒中络证,
TCMS000133,B02.02.04.03.01,风寒袭络证,风寒入络证
TCMS000134,B02.02.04.03.02,风寒阻络证,风寒凝络证
TCMS000135,B02.02.04.04,风寒犯肺证,风寒束肺证
TCMS000136,B02.02.04.04.01,风寒袭肺证,
TCMS000137,B02.02.04.04.02,风寒闭肺证,风寒郁肺证
TCMS000138,B02.02.04.05,风寒犯胃证,
TCMS000139,B02.02.04.06.,风寒兼夹证,
TCMS000140,B02.02.04.06.01,风寒湿痹阻证,风寒湿痹证；风寒湿阻证；风寒湿邪证
TCMS000141,B02.02.04.06.02,风寒湿凝滞筋骨证,风寒湿阻筋骨证
TCMS000142,B02.02.04.06.03,风寒化热证,风寒郁热证
TCMS000143,B02.02.05.,风热证,
TCMS000144,B02.02.05.01,风热外袭证,风热外侵证；风热外犯证；风热侵袭证
TCMS000145,B02.02.05.01.01,风重于热证,
TCMS000146,B02.02.05.01.02,热重于风证,
TCMS000147,B02.02.05.01.03,风热俱盛证,风热偏盛证；风热壅盛证
TCMS000148,B02.02.05.01.04,风热感冒证,风热表证；风热在表证；热伤风证
TCMS000149,B02.02.05.01.04.01,风热犯表证,风热袭表证
TCMS000150,B02.02.05.01.04.02,风热犯卫证,
TCMS000151,B02.02.05.01.05,风热蕴肤证,风热蕴肌证；风热郁滞肌肤证；肌肤风热证
TCMS000152,B02.02.05.01.06,风热痹阻证,
TCMS000153,B02.02.05.02,风热上犯证,风热上扰证；风热上攻证
