id,code,name,keywords
TCMT000001,C01.,治则类术语,
TCMT000002,C01.01.,治未病法,
TCMT000003,C01.01.01,未病先防,
TCMT000004,C01.01.02,已病防变,既病防变
TCMT000005,C01.01.03,瘥后防复,
TCMT000006,C01.02,急则治标,
TCMT000007,C01.03,缓则治本,
TCMT000008,C01.04,标本兼治,标本同治
TCMT000009,C01.05,因时制宜,
TCMT000010,C01.06,因地制宜,
TCMT000011,C01.07,因人制宜,
TCMT000012,C01.08,扶正祛邪,扶正达邪
TCMT000013,C01.09,扶正固本,扶正培本
TCMT000014,C01.10,祛邪扶正,祛邪安正
TCMT000015,C01.11,攻补兼施,
TCMT000016,C01.11.01,先攻后补,
TCMT000017,C01.11.02,先补后攻,
TCMT000018,C01.11.03,寓攻于补,补中寓攻
TCMT000019,C01.11.04,寓补于攻,攻中寓补
TCMT000020,C01.12.,正治法,逆治法
TCMT000021,C01.12.01,寒者热之,
TCMT000022,C01.12.02,热者寒之,
TCMT000023,C01.12.03,虚则补之,
TCMT000024,C01.12.04,实则泻之,
TCMT000025,C01.13.,反治法,从治法
TCMT000026,C01.13.01,寒因寒用,
TCMT000027,C01.13.02,热因热用,
TCMT000028,C01.13.03,塞因塞用,
TCMT000029,C01.13.04,通因通用,
TCMT000030,C01.14,调理阴阳,调平阴阳；调整阴阳
TCMT000031,C01.14.01,从阴引阳,阴中求阳
TCMT000032,C01.14.02,从阳引阴,阳中求阴
TCMT000033,C01.15,虚者补其母,
TCMT000034,C01.16,实者泻其子,
TCMT000035,C02.,治法类术语,
TCMT000036,C02.01.,解表法,发表法；汗法
TCMT000037,C02.01.01,调和营卫,
TCMT000038,C02.01.01.01,疏风和营,
TCMT000039,C02.01.01.02,散寒和营,
TCMT000040,C02.01.01.03,化湿和营,燥湿和营
TCMT000041,C02.01.02,辛温解表,辛温发汗；发表散寒
TCMT000042,C02.01.02.01,疏风散寒,
TCMT000043,C02.01.02.01.01,疏风散寒解表,
TCMT000044,C02.01.02.02,发汗解表,
TCMT000045,C02.01.03,辛凉解表,辛凉透表；疏散风热
TCMT000046,C02.01.04,疏邪解表,疏邪透表
TCMT000047,C02.01.04.01,解肌发表,
TCMT000048,C02.01.04.01.01,疏风解表,
TCMT000049,C02.01.04.02,解肌透疹,
TCMT000050,C02.01.04.02.01,疏风透疹,解表透疹
TCMT000051,C02.01.04.02.02,解毒透疹,
TCMT000052,C02.01.04.03,祛湿解表,
TCMT000053,C02.01.04.04,理气解表,
TCMT000054,C02.01.05,扶正解表,
TCMT000055,C02.01.05.01,益气解表,
TCMT000056,C02.01.05.02,养血解表,
TCMT000057,C02.01.05.02.01,求汗于血,
TCMT000058,C02.01.05.03,滋阴解表,滋阴发汗
TCMT000059,C02.01.05.04,温阳解表,温阳发汗；助阳解表；助阳发汗
TCMT000060,C02.01.05.04.01,温经解表,温经发汗
TCMT000061,C02.01.05.04.02,解表通经,
TCMT000062,C02.02.,表里双解法,
TCMT000063,C02.02.01,表里双解,
TCMT000064,C02.02.01.01,辛凉清热,解表清热
TCMT000065,C02.02.01.01.01,疏风清热,疏风泻热
TCMT000066,C02.02.01.01.02,透表清热,
TCMT000067,C02.02.01.02,解表宣肺,
TCMT000068,C02.02.01.02.01,疏风宣肺,
TCMT000069,C02.02.01.02.02,散寒清肺,
TCMT000070,C02.02.02,解表攻里,发表攻里
TCMT000071,C02.02.03,解表清里,
TCMT000072,C02.02.03.01,解肌清热,
TCMT000073,C02.02.03.02,解表清肺,
TCMT000074,C02.02.04,解表温里,发汗温里
TCMT000075,C02.03.,涌吐法,吐法；探吐法
TCMT000076,C02.03.01,涌吐宿食,
TCMT000077,C02.03.02,涌吐痰食,
TCMT000078,C02.03.03,涌吐痰诞,
TCMT000079,C02.03.03.01,涌吐风痰,
TCMT000080,C02.03.03.02,开关涌吐,涌吐开关
TCMT000081,C02.04.,攻下法,下法；泻下法；通下法；攻里法
TCMT000082,C02.04.01,清热攻下,清热通腑；泻火通腑；苦寒攻下；苦寒通下；峻下热结
TCMT000083,C02.04.01.01,泻结行滞,
TCMT000084,C02.04.01.02,急下存阴,
TCMT000085,C02.04.02,温下实寒,
TCMT000086,C02.04.02.01,温阳通便,温阳通下
